OrderID,Date,State,Store,Category,Product,UnitsSold,UnitPrice,Revenue,Cost,Profit,CustomerType,PaymentMethod
ORD0001,2025-08-05,New South Wales,Sydney CBD,Sports,Tennis Racket,8,176.05,1408.4,684.3,724.1,Member,Online
ORD0002,2025-11-29,New South Wales,Sydney CBD,Electronics,Tablet,8,611.37,4890.96,2246.36,2644.6,Member,Online
ORD0003,2025-08-05,Western Australia,Fremantle,Home Appliances,Coffee Machine,19,341.05,6479.95,4887.54,1592.41,Member,Online
ORD0004,2025-11-06,Queensland,Gold Coast,Home Appliances,Vacuum Cleaner,11,131.63,1447.93,844.11,603.82,Casual,Cash
ORD0005,2025-04-09,Queensland,Brisbane City,Fashion,Sneakers,13,103.77,1349.01,745.48,603.53,Casual,Online
ORD0006,2025-08-21,New South Wales,Sydney CBD,Home Appliances,Air Fryer,3,1027.83,3083.49,2322.7,760.79,Casual,Cash
ORD0007,2025-11-22,Queensland,Brisbane City,Sports,Yoga Mat,7,807.51,5652.57,3932.14,1720.43,Member,Online
ORD0008,2025-06-16,Victoria,Ballarat,Home Appliances,Vacuum Cleaner,15,461.55,6923.25,5513.21,1410.04,Member,Online
ORD0009,2025-12-02,New South Wales,Sydney CBD,Electronics,Smartphone,13,328.61,4271.93,2237.82,2034.11,Casual,Card
ORD0010,2025-10-27,South Australia,Mount Gambier,Fashion,Jacket,9,176.16,1585.44,1126.85,458.59,Casual,Online
ORD0011,2025-03-20,South Australia,Mount Gambier,Sports,Tennis Racket,5,616.34,3081.7,1484.82,1596.88,Member,Card
ORD0012,2025-01-06,Victoria,Ballarat,Fashion,Sneakers,13,464.13,6033.69,4818.76,1214.93,Casual,Online
ORD0013,2025-05-15,New South Wales,Newcastle,Groceries,Coffee Beans,11,142.75,1570.25,945.55,624.7,Casual,Card
ORD0014,2025-07-11,Western Australia,Perth CBD,Groceries,Organic Snacks,10,1011.59,10115.9,6349.57,3766.33,Member,Card
ORD0015,2025-05-03,Victoria,Ballarat,Groceries,Organic Snacks,20,395.75,7915.0,3615.71,4299.29,Casual,Cash
ORD0016,2025-12-04,New South Wales,Sydney CBD,Groceries,Organic Snacks,3,880.97,2642.91,1944.15,698.76,Member,Card
ORD0017,2025-06-09,South Australia,Adelaide Central,Sports,Fitness Tracker,7,1115.41,7807.87,5577.5,2230.37,Member,Online
ORD0018,2025-10-11,South Australia,Mount Gambier,Fashion,Jeans,4,305.01,1220.04,576.36,643.68,Member,Online
ORD0019,2025-06-19,Victoria,Ballarat,Home Appliances,Microwave,3,852.33,2556.99,1203.33,1353.66,Member,Card
ORD0020,2025-08-31,New South Wales,Newcastle,Home Appliances,Air Fryer,16,264.94,4239.04,2103.87,2135.17,Casual,Card
ORD0021,2025-12-01,South Australia,Adelaide Central,Electronics,Laptop,14,431.61,6042.54,3588.58,2453.96,Member,Online
ORD0022,2025-08-05,New South Wales,Sydney CBD,Fashion,Backpack,4,305.9,1223.6,632.08,591.52,Casual,Card
ORD0023,2025-11-30,Victoria,Geelong,Fashion,Jacket,3,537.33,1611.99,1211.37,400.62,Member,Card
ORD0024,2025-03-26,Western Australia,Perth CBD,Electronics,Tablet,6,493.63,2961.78,1831.79,1129.99,Casual,Card
ORD0025,2025-04-08,South Australia,Adelaide Central,Fashion,Backpack,15,349.45,5241.75,3636.76,1604.99,Casual,Card
ORD0026,2025-09-18,Queensland,Brisbane City,Electronics,Laptop,11,78.03,858.33,561.74,296.59,Member,Card
ORD0027,2025-11-01,New South Wales,Sydney CBD,Electronics,Laptop,8,490.49,3923.92,3058.93,864.99,Member,Online
ORD0028,2025-12-09,New South Wales,Newcastle,Electronics,Headphones,19,682.62,12969.78,7272.54,5697.24,Casual,Card
ORD0029,2025-01-05,Queensland,Brisbane City,Sports,Fitness Tracker,5,809.31,4046.55,2245.83,1800.72,Casual,Card
ORD0030,2025-07-09,South Australia,Adelaide Central,Electronics,Tablet,17,325.59,5535.03,4298.73,1236.3,Member,Card
ORD0031,2025-10-11,Queensland,Brisbane City,Fashion,Backpack,20,1180.79,23615.8,17298.22,6317.58,Member,Online
ORD0032,2025-05-25,Queensland,Cairns,Electronics,Tablet,9,147.36,1326.24,646.49,679.75,Member,Cash
ORD0033,2025-11-21,Western Australia,Perth CBD,Sports,Tennis Racket,9,611.44,5502.96,2960.0,2542.96,Member,Card
ORD0034,2025-08-15,South Australia,Mount Gambier,Electronics,Laptop,11,927.63,10203.93,6867.14,3336.79,Casual,Card
ORD0035,2025-01-19,Western Australia,Fremantle,Groceries,Organic Snacks,4,99.54,398.16,302.24,95.92,Member,Online
ORD0036,2025-04-18,Queensland,Cairns,Groceries,Protein Bars,14,161.66,2263.24,1262.64,1000.6,Member,Cash
ORD0037,2025-03-25,Victoria,Ballarat,Electronics,Smartphone,18,1062.12,19118.16,11322.39,7795.77,Member,Card
ORD0038,2025-03-23,Victoria,Geelong,Electronics,Tablet,11,941.04,10351.44,6149.79,4201.65,Member,Cash
ORD0039,2025-04-27,New South Wales,Parramatta,Electronics,Headphones,8,247.49,1979.92,1527.43,452.49,Casual,Cash
ORD0040,2025-11-25,Victoria,Melbourne Central,Home Appliances,Coffee Machine,11,341.54,3756.94,1781.91,1975.03,Casual,Cash
ORD0041,2025-05-16,Western Australia,Fremantle,Groceries,Coffee Beans,1,147.26,147.26,116.28,30.98,Member,Online
ORD0042,2025-10-23,New South Wales,Sydney CBD,Groceries,Milk,12,876.97,10523.64,5891.0,4632.64,Member,Cash
ORD0043,2025-08-09,Victoria,Geelong,Electronics,Headphones,1,628.71,628.71,460.39,168.32,Member,Cash
ORD0044,2025-07-29,New South Wales,Newcastle,Sports,Yoga Mat,4,866.51,3466.04,1924.04,1542.0,Casual,Online
ORD0045,2025-10-19,Queensland,Gold Coast,Sports,Tennis Racket,7,510.33,3572.31,2783.28,789.03,Member,Online
ORD0046,2025-08-15,Queensland,Gold Coast,Groceries,Organic Snacks,10,351.43,3514.3,2110.2,1404.1,Casual,Cash
ORD0047,2025-05-01,South Australia,Adelaide Central,Groceries,Milk,6,794.03,4764.18,2617.08,2147.1,Casual,Card
ORD0048,2025-08-01,Queensland,Brisbane City,Home Appliances,Vacuum Cleaner,1,64.99,64.99,51.63,13.36,Member,Cash
ORD0049,2025-08-06,Western Australia,Perth CBD,Fashion,Jeans,13,300.34,3904.42,2653.52,1250.9,Member,Card
ORD0050,2025-03-10,Victoria,Melbourne Central,Groceries,Milk,2,673.31,1346.62,1038.4,308.22,Member,Cash
ORD0051,2025-05-13,South Australia,Mount Gambier,Fashion,Jeans,18,540.64,9731.52,4921.28,4810.24,Casual,Cash
ORD0052,2025-05-20,Victoria,Ballarat,Sports,Fitness Tracker,8,336.77,2694.16,1285.44,1408.72,Casual,Card
ORD0053,2025-04-20,Queensland,Gold Coast,Groceries,Organic Snacks,5,189.49,947.45,553.37,394.08,Member,Online
ORD0054,2025-10-27,New South Wales,Parramatta,Fashion,Backpack,18,564.45,10160.1,4793.46,5366.64,Casual,Cash
ORD0055,2025-10-03,New South Wales,Newcastle,Fashion,Jeans,1,1131.86,1131.86,627.63,504.23,Casual,Cash
ORD0056,2025-12-14,Western Australia,Perth CBD,Fashion,Jacket,9,528.64,4757.76,2189.32,2568.44,Casual,Online
ORD0057,2025-11-26,South Australia,Adelaide Central,Fashion,Jacket,20,645.61,12912.2,9909.15,3003.05,Member,Card
ORD0058,2025-06-22,South Australia,Adelaide Central,Fashion,Jacket,2,319.59,639.18,360.86,278.32,Casual,Cash
ORD0059,2025-04-25,South Australia,Mount Gambier,Fashion,Backpack,3,569.67,1709.01,1217.09,491.92,Member,Cash
ORD0060,2025-03-06,New South Wales,Newcastle,Electronics,Laptop,8,247.24,1977.92,904.17,1073.75,Member,Card
ORD0061,2025-11-07,South Australia,Adelaide Central,Groceries,Protein Bars,15,842.36,12635.4,9077.45,3557.95,Member,Online
ORD0062,2025-04-12,New South Wales,Sydney CBD,Sports,Football,19,40.56,770.64,430.93,339.71,Casual,Cash
ORD0063,2025-01-22,New South Wales,Newcastle,Home Appliances,Microwave,10,1021.85,10218.5,6745.68,3472.82,Member,Online
ORD0064,2025-02-24,Queensland,Cairns,Fashion,Backpack,3,612.09,1836.27,1045.63,790.64,Casual,Cash
ORD0065,2025-10-03,South Australia,Mount Gambier,Fashion,Jacket,14,219.6,3074.4,1944.9,1129.5,Casual,Online
ORD0066,2025-08-19,South Australia,Mount Gambier,Fashion,Backpack,11,1023.54,11258.94,8340.13,2918.81,Member,Cash
ORD0067,2025-04-19,Victoria,Geelong,Groceries,Milk,11,44.15,485.65,363.19,122.46,Member,Cash
ORD0068,2025-04-08,Queensland,Gold Coast,Sports,Yoga Mat,20,844.41,16888.2,9232.68,7655.52,Member,Online
ORD0069,2025-01-09,New South Wales,Sydney CBD,Fashion,Jeans,18,912.22,16419.96,11357.9,5062.06,Casual,Cash
ORD0070,2025-09-29,New South Wales,Parramatta,Home Appliances,Coffee Machine,8,374.39,2995.12,1957.44,1037.68,Casual,Online
ORD0071,2025-03-03,Queensland,Gold Coast,Groceries,Coffee Beans,12,846.4,10156.8,5533.64,4623.16,Casual,Card
ORD0072,2025-04-10,Victoria,Geelong,Electronics,Tablet,7,267.5,1872.5,1159.96,712.54,Casual,Card
ORD0073,2025-01-28,Queensland,Brisbane City,Sports,Tennis Racket,10,26.84,268.4,170.96,97.44,Casual,Card
ORD0074,2025-08-14,Western Australia,Fremantle,Home Appliances,Coffee Machine,4,1048.54,4194.16,2730.07,1464.09,Casual,Cash
ORD0075,2025-10-23,Queensland,Brisbane City,Electronics,Smartphone,16,145.76,2332.16,1102.81,1229.35,Casual,Card
ORD0076,2025-11-02,New South Wales,Sydney CBD,Home Appliances,Air Fryer,3,1192.76,3578.28,1758.57,1819.71,Casual,Online
ORD0077,2025-10-19,Western Australia,Perth CBD,Groceries,Milk,15,1091.12,16366.8,9068.41,7298.39,Casual,Cash
ORD0078,2025-05-03,Western Australia,Perth CBD,Groceries,Organic Snacks,7,754.36,5280.52,2865.35,2415.17,Member,Card
ORD0079,2025-01-17,Victoria,Ballarat,Electronics,Tablet,1,496.14,496.14,342.97,153.17,Casual,Cash
ORD0080,2025-02-28,Victoria,Geelong,Sports,Fitness Tracker,3,827.99,2483.97,1921.03,562.94,Member,Cash
ORD0081,2025-10-19,Western Australia,Perth CBD,Home Appliances,Air Fryer,5,94.98,474.9,241.28,233.62,Casual,Online
ORD0082,2025-02-11,Queensland,Gold Coast,Electronics,Headphones,10,842.68,8426.8,6572.37,1854.43,Casual,Cash
ORD0083,2025-05-18,Western Australia,Perth CBD,Fashion,Backpack,20,307.94,6158.8,2968.32,3190.48,Member,Online
ORD0084,2025-08-12,Western Australia,Perth CBD,Home Appliances,Coffee Machine,17,785.3,13350.1,10287.93,3062.17,Member,Online
ORD0085,2025-07-30,South Australia,Adelaide Central,Fashion,Backpack,14,406.64,5692.96,3897.1,1795.86,Member,Cash
ORD0086,2025-09-21,South Australia,Mount Gambier,Fashion,Sneakers,15,114.79,1721.85,926.94,794.91,Member,Cash
ORD0087,2025-08-15,New South Wales,Newcastle,Groceries,Milk,14,74.5,1043.0,658.61,384.39,Casual,Online
ORD0088,2025-11-19,New South Wales,Sydney CBD,Sports,Tennis Racket,10,531.36,5313.6,3689.7,1623.9,Member,Card
ORD0089,2025-08-25,Western Australia,Perth CBD,Home Appliances,Air Fryer,18,26.27,472.86,280.31,192.55,Member,Card
ORD0090,2025-05-05,New South Wales,Newcastle,Home Appliances,Coffee Machine,10,615.56,6155.6,3359.1,2796.5,Casual,Cash
ORD0091,2025-08-01,South Australia,Adelaide Central,Fashion,Jacket,20,614.81,12296.2,9317.62,2978.58,Member,Cash
ORD0092,2025-08-17,Queensland,Cairns,Sports,Football,10,874.0,8740.0,6494.84,2245.16,Casual,Card
ORD0093,2025-12-24,Western Australia,Fremantle,Sports,Yoga Mat,18,917.82,16520.76,9615.47,6905.29,Casual,Card
ORD0094,2025-12-06,Victoria,Ballarat,Fashion,Jacket,14,61.94,867.16,616.24,250.92,Casual,Cash
ORD0095,2025-02-21,Victoria,Geelong,Electronics,Tablet,17,1158.77,19699.09,11153.59,8545.5,Member,Cash
ORD0096,2025-05-16,Western Australia,Fremantle,Electronics,Tablet,14,1046.41,14649.74,11565.75,3083.99,Member,Cash
ORD0097,2025-11-17,Queensland,Cairns,Fashion,Sneakers,11,1024.29,11267.19,8459.07,2808.12,Casual,Cash
ORD0098,2025-02-16,South Australia,Adelaide Central,Groceries,Organic Snacks,8,761.08,6088.64,4702.41,1386.23,Member,Online
ORD0099,2025-01-29,South Australia,Adelaide Central,Electronics,Headphones,6,835.86,5015.16,3842.61,1172.55,Member,Cash
ORD0100,2025-03-31,Queensland,Gold Coast,Sports,Fitness Tracker,5,300.59,1502.95,893.08,609.87,Member,Card
ORD0101,2025-05-11,New South Wales,Newcastle,Fashion,Jacket,16,1096.27,17540.32,8771.76,8768.56,Casual,Online
