Transaction_ID,Account_ID,Amount,Time,Is_Fraud,Transaction_Frequency,Average_Transaction_Amount,Transaction_Time_Deviation,Suspicious_Account_Label
T0,A82,1802.62,11,0,11,3879.7218181818184,1,1
T1,A15,151.34,16,0,11,5531.051818181818,4,1
T2,A4,5346.01,17,0,13,4375.786923076923,5,1
T3,A95,2750.37,3,0,12,5788.974166666667,9,1
T4,A36,9743.21,10,0,16,3547.711875,2,1
T5,A32,5538.06,7,0,20,4933.135499999999,5,1
T6,A29,6977.2,14,0,14,5571.065714285714,2,1
T7,A18,1907.295,3,0,23,4880.01,14,1
T8,A95,8685.93,8,0,12,5788.974166666667,4,1
T9,A14,4913.88,14,0,13,5203.632307692308,2,1
T10,A87,8728.47,7,0,9,4859.406666666667,5,0
T11,A95,5744.9,4,0,12,5788.974166666667,8,1
T12,A70,4699.28,3,0,13,4566.172307692307,9,1
T13,A12,4410.28,1,0,9,3851.8277777777776,11,1
T14,A76,2777.685,9,1,23,4435.786875,8,1
T15,A55,523.25,12,0,15,4489.224,0,1
T16,A5,9411.23,19,0,6,6171.066666666667,7,1
T17,A4,4782.51,13,0,13,4375.786923076923,1,1
T18,A12,8222.94,7,0,9,3851.8277777777776,5,0
T19,A28,4013.07,5,0,15,4897.166,7,1
T20,A30,750.08,10,0,10,5117.564,2,1
T21,A65,6298.16,18,0,10,6853.116,6,1
T22,A78,545.55,23,0,11,5513.804545454545,11,1
T23,A4,1500.48,10,0,13,4375.786923076923,2,1
T24,A72,5632.77,6,0,10,5840.468,6,1
T25,A26,4567.9800000000005,5,0,23,5584.485,12,1
T26,A92,9939.24,15,0,11,6073.983636363637,3,1
T27,A84,1193.33,16,1,11,4807.995454545454,4,1
T28,A90,7646.79,14,0,13,5612.052307692307,2,1
T29,A70,6067.11,15,0,13,4566.172307692307,3,1
T30,A54,7909.5,9,0,10,3609.3769999999995,3,0
T31,A29,2264.61,15,0,14,5571.065714285714,3,1
T32,A58,5230.5,0,0,7,4044.154285714286,12,1
T33,A76,6765.960000000001,2,0,23,4435.786875,15,1
T34,A36,4432.78,12,0,16,3547.711875,0,1
T35,A1,8603.06,16,0,10,6174.63,4,1
T36,A98,9900.41,14,0,10,6770.950999999999,2,1
T37,A21,3060.75,7,0,13,5466.449230769231,5,1
T38,A90,6214.06,6,0,13,5612.052307692307,6,1
T39,A55,6100.21,18,0,15,4489.224,6,1
T40,A44,11105.235,11,0,26,6873.118636363636,6,1
T41,A36,9476.43,1,0,16,3547.711875,11,1
T42,A20,2085.8,1,1,11,4443.7472727272725,11,1
T43,A28,2118.14,9,0,15,4897.166,3,1
T44,A98,6607.68,15,0,10,6770.950999999999,3,1
T45,A44,2368.5,19,0,26,6873.118636363636,12,1
T46,A14,1746.4,20,0,13,5203.632307692308,8,1
T47,A12,759.9,21,0,9,3851.8277777777776,9,1
T48,A49,36.73,15,0,13,3498.369230769231,3,1
T49,A13,4510.53,9,0,8,6105.9262499999995,3,1
T50,A46,5942.17,17,0,8,7117.0575,5,1
T51,A45,2919.68,0,0,8,4022.1175000000003,12,1
T52,A78,2322.45,3,0,11,5513.804545454545,9,1
T53,A34,7072.49,13,0,17,4573.92411764706,1,1
T54,A6,10549.275000000001,4,0,25,8278.3455,13,1
T55,A94,4545.77,8,0,10,4531.981000000001,4,0
T56,A59,6876.98,23,0,13,5202.203846153846,11,1
T57,A69,9239.87,11,0,14,5133.897142857143,1,1
T58,A16,7880.4,12,0,8,5821.07875,0,1
T59,A49,6254.33,11,0,13,3498.369230769231,1,1
T60,A11,6615.22,1,0,11,6381.582727272727,11,1
T61,A71,9337.35,12,0,14,6108.2,0,1
T62,A38,4257.14,1,0,7,5405.907142857143,11,1
