student_id,week_1,week_2,week_3,week_4,week_5,week_6,total_sessions_attended
S001,0,0,1,1,0,1,3
S002,1,2,1,0,0,2,6
S003,2,1,2,0,1,0,6
S004,1,1,0,1,1,2,6
S005,2,0,2,1,1,2,8
S006,2,0,0,1,1,0,4
S007,2,2,1,1,0,2,8
S008,2,0,1,1,2,2,8
S009,2,2,1,0,0,1,6
S010,2,1,0,1,0,1,5
S011,2,1,1,0,0,0,4
S012,1,2,0,0,1,0,4
S013,0,0,2,1,1,0,4
S014,0,1,0,1,1,1,4
S015,1,0,2,0,2,0,5
S016,1,1,0,1,0,0,3
S017,1,2,2,1,2,0,8
S018,1,2,1,1,1,1,7
S019,2,2,2,2,2,2,12
S020,0,1,1,0,0,0,2
S021,2,0,1,2,0,2,7
S022,0,0,2,1,1,0,4
S023,0,0,0,2,1,2,5
S024,1,1,0,1,2,1,6
S025,2,1,0,2,1,1,7
S026,1,1,0,1,1,0,4
S027,2,1,0,2,0,2,7
S028,0,1,1,2,1,1,6
S029,1,0,0,2,1,0,4
S030,1,1,1,0,0,0,3
S031,0,1,1,2,0,1,5
S032,0,0,1,0,2,1,4
S033,0,1,2,1,1,0,5
S034,1,0,2,2,0,2,7
S035,2,0,1,1,2,2,8
S036,1,2,2,1,2,2,10
S037,2,2,0,2,1,0,7
S038,1,2,0,0,1,1,5
S039,1,2,1,2,2,0,8
S040,0,1,0,1,0,1,3
S041,2,2,1,1,2,2,10
S042,1,0,1,2,1,2,7
S043,1,1,0,0,0,1,3
S044,0,2,2,0,0,1,5
S045,0,0,0,1,2,0,3
S046,2,1,0,1,1,2,7
S047,1,1,1,0,2,0,5
S048,2,2,1,2,2,0,9
S049,1,1,1,1,2,0,6
S050,2,0,1,0,0,2,5
S051,0,1,2,1,0,0,4
S052,1,0,2,2,1,0,6
S053,2,1,2,0,1,0,6
S054,0,2,1,1,2,0,6
S055,0,0,1,2,2,0,5
S056,2,1,1,1,2,0,7
S057,1,1,2,2,1,2,9
S058,1,1,1,2,0,0,5
S059,0,0,0,0,0,1,1
S060,1,0,0,2,2,0,5
S061,1,0,1,1,2,0,5
S062,1,2,0,2,2,2,9
S063,0,2,0,2,2,2,8
S064,2,0,2,0,1,1,6
S065,1,1,1,2,0,1,6
S066,0,2,1,2,2,2,9
S067,0,0,2,1,1,2,6
S068,2,1,0,0,2,0,5
S069,1,2,0,0,2,2,7
S070,1,1,1,0,0,1,4
S071,2,1,0,2,2,0,7
S072,2,1,2,0,0,1,6
S073,0,1,2,2,0,0,5
S074,0,2,1,2,0,2,7
S075,2,2,2,1,1,1,9
S076,1,2,2,1,1,0,7
S077,0,0,1,1,0,0,2
S078,0,2,2,1,2,2,9
S079,1,1,2,1,0,2,7
S080,0,2,2,2,2,2,10
S081,1,1,0,2,0,1,5
S082,1,0,1,0,2,0,4
S083,1,1,1,2,1,2,8
S084,2,1,1,2,2,1,9
S085,2,1,0,1,0,1,5
S086,2,0,0,2,1,1,6
S087,1,2,1,1,2,2,9
S088,1,2,0,0,2,2,7
S089,2,0,1,0,2,0,5
S090,0,1,0,2,2,0,5
S091,1,2,2,0,2,2,9
S092,0,0,2,2,1,1,6
S093,0,2,1,0,1,1,5
S094,1,0,0,1,1,1,4
S095,1,1,0,1,1,0,4
S096,0,2,2,1,0,1,6
S097,0,0,2,1,1,0,4
S098,2,2,0,2,2,0,8
S099,2,2,0,0,2,1,7
S100,1,2,0,2,1,1,7
S101,2,2,0,1,2,2,9
S102,2,0,0,2,1,2,7
S103,2,1,0,0,2,1,6
S104,2,0,1,2,0,0,5
S105,0,0,0,0,0,0,0
S106,1,0,2,2,1,0,6
S107,2,1,1,0,1,0,5
S108,0,2,0,0,1,0,3
S109,0,2,2,1,2,2,9
S110,0,2,1,0,1,1,5
S111,2,1,2,1,0,2,8
S112,2,2,0,1,2,0,7
S113,1,1,0,1,1,0,4
S114,2,2,0,2,2,0,8
S115,2,2,0,2,2,0,8
S116,0,0,1,2,1,1,5
S117,1,1,1,2,2,0,7
S118,2,0,2,0,0,1,5
S119,2,0,0,0,0,0,2
S120,0,0,2,2,2,1,7
