student_id,subject_code,assessment_1,assessment_2,final_mark,grade
S001,ITEC200,49,49,44,Fail
S001,HI6039,60,68,68,Credit
S001,IDS201,78,72,85,High Distinction
S001,MAT101,60,53,53,Pass
S002,ITEC200,81,71,63,Pass
S002,MAT101,72,66,57,Pass
S003,MAT101,67,62,70,Credit
S003,HI6039,90,89,67,Credit
S003,ITEC200,57,56,63,Pass
S003,IDS201,36,38,50,Pass
S004,MAT101,43,49,43,Fail
S004,HI6039,45,49,49,Fail
S004,ITEC200,72,64,72,Credit
S004,IDS201,39,40,55,Pass
S005,MAT101,68,69,67,Credit
S005,IDS201,35,32,57,Pass
S006,ITEC200,45,43,44,Fail
S006,MAT101,94,86,80,Distinction
S006,IDS201,39,47,48,Fail
S007,ITEC200,59,66,65,Credit
S007,MAT101,42,38,41,Fail
S007,HI6039,66,74,69,Credit
S007,IDS201,67,71,63,Pass
S008,IDS201,48,58,64,Pass
S008,MAT101,73,81,86,High Distinction
S008,HI6039,40,32,36,Fail
S009,HI6039,63,53,57,Pass
S009,IDS201,70,65,75,Distinction
S009,ITEC200,67,61,61,Pass
S009,MAT101,89,79,89,High Distinction
S010,HI6039,44,34,50,Pass
S010,ITEC200,47,51,62,Pass
S010,IDS201,90,94,78,Distinction
S011,HI6039,46,48,41,Fail
S011,MAT101,61,69,65,Credit
S011,ITEC200,70,70,64,Pass
S012,IDS201,74,69,57,Pass
S012,HI6039,42,46,56,Pass
S012,MAT101,77,78,63,Pass
S013,HI6039,81,78,83,Distinction
S013,ITEC200,77,78,85,High Distinction
S014,HI6039,83,81,81,Distinction
S014,MAT101,63,66,66,Credit
S014,ITEC200,75,75,66,Credit
S014,IDS201,35,38,42,Fail
S015,ITEC200,91,81,88,High Distinction
S015,IDS201,88,96,83,Distinction
S016,MAT101,43,42,58,Pass
S016,HI6039,91,100,79,Distinction
S016,IDS201,75,67,79,Distinction
S017,IDS201,36,32,46,Fail
S017,HI6039,61,67,67,Credit
S017,ITEC200,93,94,88,High Distinction
S018,HI6039,40,50,52,Pass
S018,MAT101,83,83,70,Credit
S018,ITEC200,60,67,69,Credit
S019,MAT101,54,51,63,Pass
S019,ITEC200,41,31,38,Fail
S020,IDS201,53,59,63,Pass
S020,MAT101,63,68,67,Credit
S020,HI6039,53,60,46,Fail
S021,IDS201,88,94,81,Distinction
S021,HI6039,85,78,61,Pass
S021,MAT101,42,38,37,Fail
S021,ITEC200,66,65,64,Pass
S022,IDS201,66,73,56,Pass
S022,MAT101,63,60,74,Credit
S022,HI6039,91,83,87,High Distinction
S023,ITEC200,81,75,85,High Distinction
S023,IDS201,85,75,63,Pass
S023,MAT101,68,60,63,Pass
S024,HI6039,55,58,68,Credit
S024,MAT101,82,89,66,Credit
S024,IDS201,44,40,50,Pass
S024,ITEC200,57,67,56,Pass
S025,HI6039,52,43,40,Fail
S025,MAT101,81,75,66,Credit
S026,HI6039,57,58,54,Pass
S026,IDS201,39,33,48,Fail
S026,MAT101,64,62,71,Credit
S027,IDS201,78,84,72,Credit
S027,ITEC200,90,93,72,Credit
S027,MAT101,43,40,63,Pass
S028,HI6039,56,56,47,Fail
S028,MAT101,60,62,63,Pass
S028,IDS201,45,40,44,Fail
S029,ITEC200,68,74,69,Credit
S029,HI6039,59,54,56,Pass
S029,IDS201,91,86,81,Distinction
S030,MAT101,41,40,54,Pass
S030,ITEC200,51,61,70,Credit
S030,HI6039,92,95,93,High Distinction
S031,HI6039,85,95,80,Distinction
S031,IDS201,85,95,70,Credit
S031,ITEC200,74,74,70,Credit
S032,IDS201,68,72,63,Pass
S032,MAT101,88,82,85,High Distinction
S032,HI6039,67,60,58,Pass
S032,ITEC200,53,45,66,Credit
S033,HI6039,60,51,61,Pass
S033,IDS201,51,41,64,Pass
S033,MAT101,77,74,74,Credit
S033,ITEC200,59,55,60,Pass
S034,HI6039,72,63,57,Pass
S034,MAT101,53,47,59,Pass
S034,ITEC200,93,99,94,High Distinction
S034,IDS201,51,50,65,Credit
S035,IDS201,58,66,52,Pass
S035,HI6039,65,75,82,Distinction
S035,MAT101,42,49,44,Fail
S036,HI6039,60,64,62,Pass
S036,ITEC200,44,49,68,Credit
S036,IDS201,51,61,48,Fail
S037,MAT101,85,90,88,High Distinction
S037,HI6039,57,64,64,Pass
S038,HI6039,51,54,56,Pass
S038,IDS201,58,50,68,Credit
S038,MAT101,79,70,58,Pass
S039,ITEC200,57,58,62,Pass
S039,IDS201,49,55,44,Fail
S039,MAT101,63,65,63,Pass
S039,HI6039,50,52,59,Pass
S040,HI6039,76,67,66,Credit
S040,IDS201,93,95,73,Credit
S040,ITEC200,52,44,56,Pass
S040,MAT101,80,89,74,Credit
S041,ITEC200,78,83,82,Distinction
S041,HI6039,78,82,64,Pass
S041,MAT101,64,60,51,Pass
S041,IDS201,35,41,36,Fail
S042,IDS201,38,45,61,Pass
S042,ITEC200,71,76,82,Distinction
S042,MAT101,87,90,71,Credit
S043,IDS201,71,65,70,Credit
S043,MAT101,94,89,82,Distinction
S043,ITEC200,90,93,71,Credit
S044,HI6039,86,79,85,High Distinction
S044,ITEC200,42,51,65,Credit
S044,IDS201,88,98,90,High Distinction
S044,MAT101,60,58,48,Fail
S045,ITEC200,81,87,66,Credit
S045,MAT101,69,78,80,Distinction
S045,HI6039,93,92,81,Distinction
S045,IDS201,84,91,89,High Distinction
S046,IDS201,47,51,68,Credit
S046,MAT101,48,42,43,Fail
S046,HI6039,75,67,66,Credit
S046,ITEC200,43,35,45,Fail
S047,HI6039,74,68,59,Pass
S047,ITEC200,93,84,80,Distinction
S047,IDS201,42,36,54,Pass
S047,MAT101,60,67,78,Distinction
S048,ITEC200,39,41,52,Pass
S048,MAT101,79,87,85,High Distinction
S048,IDS201,37,34,49,Fail
S048,HI6039,61,63,62,Pass
S049,MAT101,93,98,85,High Distinction
S049,HI6039,47,47,58,Pass
S049,IDS201,59,69,67,Credit
S049,ITEC200,70,65,76,Distinction
S050,HI6039,91,99,81,Distinction
S050,MAT101,57,56,50,Pass
S051,ITEC200,65,72,53,Pass
S051,HI6039,48,50,46,Fail
S051,MAT101,73,64,58,Pass
S051,IDS201,80,86,68,Credit
S052,HI6039,82,77,71,Credit
S052,ITEC200,41,40,61,Pass
S053,HI6039,63,56,55,Pass
S053,IDS201,66,59,76,Distinction
S053,MAT101,61,67,55,Pass
S054,ITEC200,56,63,67,Credit
S054,IDS201,48,52,53,Pass
S055,IDS201,95,96,72,Credit
S055,MAT101,63,63,63,Pass
S055,HI6039,40,44,50,Pass
S056,IDS201,68,71,65,Credit
S056,HI6039,38,44,41,Fail
S056,ITEC200,75,71,61,Pass
S056,MAT101,89,89,78,Distinction
S057,ITEC200,61,53,68,Credit
S057,IDS201,62,72,71,Credit
S058,HI6039,91,85,66,Credit
S058,IDS201,93,83,88,High Distinction
S058,MAT101,94,89,72,Credit
S059,MAT101,58,59,54,Pass
S059,HI6039,49,50,52,Pass
S059,IDS201,42,45,44,Fail
S059,ITEC200,63,73,56,Pass
S060,IDS201,41,33,59,Pass
S060,ITEC200,78,88,71,Credit
S060,HI6039,94,86,74,Credit
S060,MAT101,80,84,71,Credit
S061,HI6039,78,87,65,Credit
S061,MAT101,72,77,80,Distinction
S062,HI6039,36,33,37,Fail
S062,ITEC200,47,53,50,Pass
S063,IDS201,81,76,72,Credit
S063,ITEC200,45,47,52,Pass
S064,HI6039,85,83,69,Credit
S064,MAT101,46,49,53,Pass
S064,ITEC200,49,54,64,Pass
S064,IDS201,56,65,61,Pass
S065,IDS201,67,58,62,Pass
S065,ITEC200,75,77,69,Credit
S065,MAT101,67,69,63,Pass
S066,ITEC200,60,63,54,Pass
S066,IDS201,68,67,70,Credit
S066,HI6039,83,80,85,High Distinction
S067,ITEC200,43,39,49,Fail
S067,HI6039,75,82,62,Pass
S067,IDS201,42,49,64,Pass
S067,MAT101,54,58,48,Fail
S068,IDS201,56,48,59,Pass
S068,ITEC200,94,93,73,Credit
S068,MAT101,45,52,46,Fail
S068,HI6039,57,58,51,Pass
S069,HI6039,89,92,84,Distinction
S069,IDS201,42,52,62,Pass
S069,MAT101,66,74,71,Credit
S070,IDS201,71,69,77,Distinction
S070,HI6039,37,36,48,Fail
S070,ITEC200,95,99,73,Credit
S071,HI6039,92,100,84,Distinction
S071,ITEC200,38,39,43,Fail
S071,IDS201,94,100,89,High Distinction
S072,ITEC200,68,61,77,Distinction
S072,HI6039,49,40,53,Pass
S072,MAT101,40,36,51,Pass
S073,ITEC200,46,38,44,Fail
S073,IDS201,74,84,65,Credit
S073,HI6039,67,59,60,Pass
S073,MAT101,42,35,52,Pass
S074,ITEC200,71,65,68,Credit
S074,IDS201,79,77,83,Distinction
S074,HI6039,88,92,71,Credit
S075,ITEC200,40,46,49,Fail
S075,HI6039,36,28,33,Fail
S075,MAT101,35,32,54,Pass
S076,MAT101,45,44,65,Credit
S076,IDS201,88,91,69,Credit
S076,HI6039,46,44,39,Fail
S077,IDS201,35,44,46,Fail
S077,MAT101,91,91,81,Distinction
S077,ITEC200,81,75,73,Credit
S078,MAT101,40,41,60,Pass
S078,IDS201,54,61,47,Fail
S078,ITEC200,43,37,44,Fail
S078,HI6039,60,50,59,Pass
S079,MAT101,67,73,74,Credit
S079,HI6039,48,49,49,Fail
S079,ITEC200,87,94,83,Distinction
S080,ITEC200,91,87,87,High Distinction
S080,HI6039,81,81,80,Distinction
S081,IDS201,79,88,82,Distinction
S081,HI6039,76,73,57,Pass
S081,ITEC200,89,86,76,Distinction
S082,HI6039,81,72,84,Distinction
S082,MAT101,89,89,77,Distinction
S082,ITEC200,84,91,71,Credit
S083,HI6039,61,58,66,Credit
S083,MAT101,38,28,32,Fail
S083,IDS201,53,58,50,Pass
S083,ITEC200,87,92,93,High Distinction
S084,IDS201,40,38,48,Fail
S084,ITEC200,75,80,63,Pass
S084,HI6039,43,53,53,Pass
S085,ITEC200,72,75,57,Pass
S085,IDS201,72,80,85,High Distinction
S085,MAT101,68,75,60,Pass
S085,HI6039,75,83,59,Pass
S086,HI6039,55,59,72,Credit
S086,IDS201,46,42,44,Fail
S087,MAT101,67,73,68,Credit
S087,ITEC200,78,73,61,Pass
S087,IDS201,69,66,78,Distinction
S087,HI6039,80,78,60,Pass
S088,IDS201,62,72,62,Pass
S088,ITEC200,59,60,49,Fail
S088,MAT101,68,73,69,Credit
S089,MAT101,82,77,78,Distinction
