visits_last_3mo,avg_basket,days_since_last_shop,used_coupons,is_member,churn
6,83.0718068663385,7,1,1,0
7,87.72698794525687,50,0,1,0
6,53.95638826034757,10,1,1,0
7,7.937258243454025,62,0,1,0
7,52.77378876065419,56,0,1,0
6,58.716316774223614,11,1,0,0
11,39.78803560142173,72,0,0,0
4,49.695632123835146,1,0,1,0
8,90.60390397726702,7,0,1,0
6,73.29854324603482,10,1,1,0
6,41.508717712438,52,1,1,0
12,28.04801660809136,99,1,1,0
2,53.45965364780458,9,0,0,0
8,55.73086441299124,84,1,1,0
12,69.92398374726633,83,0,0,0
5,49.293665748646816,111,0,1,0
7,70.22999150723723,7,1,1,0
8,98.70308080120458,35,0,1,0
6,76.31002044888525,92,0,1,0
11,59.03822985338455,105,0,1,1
6,56.336990578934106,75,0,1,0
8,52.86653731640258,13,1,0,0
9,83.61281824904289,111,0,1,0
11,47.45373108097394,53,1,1,0
5,60.904454179999654,113,0,0,1
9,61.0239580376217,84,0,0,0
8,49.96431614376936,85,0,0,1
9,32.550689042317984,20,1,1,0
8,66.45949007235336,107,1,0,0
12,58.77992056289233,49,1,1,0
15,70.0048093887314,93,1,1,0
9,49.32799387121666,38,0,1,0
5,84.41642597626095,19,1,1,0
7,42.464524375763105,87,1,1,0
9,94.24080568035785,86,1,1,0
6,25.047269803434766,6,0,1,0
9,68.69540129113783,8,0,1,0
5,69.50861365053247,0,1,1,0
2,44.088858641182355,25,1,0,1
8,68.48787875722024,37,0,0,0
8,85.59037339520317,37,1,1,0
6,15.663623212918708,117,1,0,1
9,70.05489614981629,60,0,1,0
3,10.134583593398446,43,1,1,0
5,40.68670392953584,85,0,1,0
13,92.5833272980189,43,0,1,0
12,48.36435933215892,73,0,0,1
10,36.52240071182055,118,0,1,0
7,56.04124542030636,61,1,1,0
6,101.35812676327104,5,0,1,0
5,23.36635505587948,16,0,1,0
9,38.97380176721311,50,0,0,0
6,89.94863366359253,113,0,0,1
4,97.15404687075466,37,0,1,0
8,57.93137551419432,23,1,0,0
9,35.218945949467155,50,0,1,0
10,101.91687003618318,9,1,0,0
8,91.88884783498393,119,1,1,0
13,73.57893975524466,71,0,1,0
6,43.751953021251595,20,1,1,0
15,59.019413183239266,119,0,1,0
8,56.79279837910339,69,0,1,0
10,66.61702609231156,84,0,1,0
5,89.02002876262672,56,0,1,0
12,77.58834082274807,38,0,0,0
9,38.45247846030483,87,1,1,0
4,87.52992900039075,32,0,1,0
7,66.26264280026311,58,1,1,0
4,73.74131591717833,17,0,0,0
7,89.33081718557206,55,1,1,0
7,37.76839500972898,91,0,0,1
7,59.28348842587074,56,0,0,0
8,49.3709089728157,115,0,1,1
4,28.642811492690882,95,0,1,1
8,66.93419955209839,75,0,1,0
8,110.23113103168848,47,1,1,1
6,23.198445109884943,41,0,0,0
6,59.354387779010594,26,1,0,0
11,72.81085870149548,73,1,1,0
7,62.46156403312362,109,1,1,0
6,57.73743894968519,51,0,0,0
6,34.01567273108351,41,0,1,0
12,64.65573485880327,31,1,1,0
7,44.86472045968147,105,1,1,0
11,16.201565900428932,25,0,1,0
11,83.89184441027462,24,0,0,0
8,79.16771639684085,74,0,1,0
7,61.033219537021594,22,0,1,0
9,64.58149376411406,97,1,0,0
9,81.48636025431122,56,0,1,0
10,64.48679313556165,51,0,0,0
13,78.08035109522629,103,0,1,0
5,54.050355982523,86,0,1,1
9,86.23967477147893,92,1,0,0
8,66.41571451865367,30,1,1,0
7,63.88103887211748,63,0,1,0
6,34.59877822575936,70,1,1,0
5,65.73911708603417,103,0,1,0
9,43.360901650110975,32,0,1,0
6,47.23434546943012,84,0,0,0
4,43.69248743367758,1,0,0,0
7,38.6753013620155,17,0,0,0
6,102.49542806033924,46,0,1,0
3,86.62678123976806,32,1,1,0
10,98.40735004288523,100,0,1,1
11,35.54209960888872,97,1,0,1
8,61.42507499821785,83,0,1,0
4,34.129847495918085,34,1,1,0
5,46.08610245605872,50,1,0,0
11,41.63746033166851,113,0,1,1
6,84.79168012883123,117,1,1,0
9,52.0754064379648,17,0,0,0
7,81.36758667388033,109,1,0,0
9,72.08241779177035,87,0,1,0
7,106.07277504209577,71,1,1,0
12,30.411115537205518,29,1,0,0
11,85.18466479573598,43,0,1,0
7,82.92881740801455,52,0,1,0
5,40.532423239459305,9,1,1,0
7,80.1426667294632,86,0,1,0
10,66.72289926052457,51,0,1,0
10,55.45047480093184,48,0,1,0
3,43.52129026056001,10,0,1,0
11,45.61781097101628,65,1,1,0
9,100.99624191571851,57,0,0,0
9,60.01365637914965,89,0,0,0
9,75.64260003062918,35,1,0,0
10,44.182012366648934,32,1,1,0
6,44.40294107556723,46,0,1,0
10,81.63969618499884,12,0,1,0
14,33.008475768969355,39,1,0,0
8,51.69572464189457,88,1,1,0
11,60.68054822144464,67,0,1,0
7,62.22745203680105,41,0,0,0
5,56.41813429967687,18,0,1,1
7,67.91639562191847,81,0,1,0
9,73.85711511635623,100,0,0,0
8,74.6927509091866,93,1,0,0
10,40.283923826643466,18,0,1,0
9,54.316898041424054,57,1,0,0
9,83.89525723753876,22,0,1,0
5,77.89294375147745,53,1,0,0
5,32.542810970378724,79,1,1,0
8,67.02959800704403,64,0,1,0
8,20.435495012503793,11,0,1,0
3,60.938698041207395,23,0,0,0
4,97.95534033491954,33,1,1,0
8,41.04214565462027,52,1,1,0
9,43.31353909016836,7,0,1,1
8,75.28059563145719,17,0,0,0
8,29.14396969580708,56,0,1,0
9,47.34489940229922,111,1,1,1
7,71.92882275163505,4,0,1,0
11,47.31428304621194,25,0,1,0
10,55.28060025578057,29,0,1,0
10,74.8837142063007,53,0,1,0
9,68.43092167073122,12,1,1,0
6,65.33636792590804,82,0,1,1
5,53.21755441459923,28,1,0,0
9,67.40122230537911,2,0,1,0
6,57.52534639800487,89,0,1,0
5,69.1561121985157,103,1,0,1
8,50.06135949764044,57,1,1,0
9,56.34862051240918,75,1,0,0
12,40.20084414895972,1,0,1,0
8,59.29984779987528,74,0,1,0
14,43.7799827274231,107,1,1,0
3,37.71907099676014,27,0,0,0
6,65.17322295710777,81,0,1,0
8,64.25479551715321,76,1,1,0
10,75.65747469897146,100,1,0,0
4,51.37748860849802,85,1,1,0
6,68.16105693673512,75,1,1,1
9,71.01595144547326,1,1,1,0
7,68.8954761566319,100,0,0,0
11,43.48692634395716,6,0,1,0
11,62.98726964542378,25,0,1,0
8,67.28280592109323,89,0,1,0
10,60.14356933815884,87,0,1,0
8,18.27044683257831,75,0,0,0
5,63.2097924794696,15,0,0,0
5,104.25062078794484,22,0,0,0
12,52.79921462486035,39,0,0,0
7,45.43845804289358,59,0,1,0
13,67.46697119422797,72,0,1,0
6,66.24756420933143,31,1,0,0
7,83.85470330832828,14,0,1,0
12,34.842636881822244,100,0,1,0
8,74.62760505149984,12,1,0,0
12,71.80844122502927,4,0,1,0
3,57.15706926118908,74,0,0,1
9,66.7737463584338,73,0,1,0
6,80.58914963196715,51,0,1,0
6,77.44630760056901,76,1,1,0
8,37.13961375852543,40,0,1,0
8,76.40316373510969,52,1,0,0
6,58.70622789934963,109,0,1,0
5,61.45748196031031,49,0,1,0
9,61.46393982003389,14,0,1,0
11,56.9951402240348,105,0,1,0
7,83.8341499421413,119,0,1,1
9,58.32564080301576,6,0,0,0
4,37.609077432336626,39,0,1,0
4,52.129402880605426,27,1,0,0
6,63.57389433620951,31,0,0,0
4,84.58429568594102,98,1,1,0
10,72.06189369897668,14,1,1,0
10,42.98929442505912,111,0,0,1
9,109.70379833357782,99,0,1,0
15,65.2955062195596,84,0,1,0
7,85.50781475998029,69,1,1,0
13,56.96571132845542,64,0,0,1
5,70.66718489410898,3,1,0,0
