Transaction_ID,Account_ID,Amount,Time,Is_Fraud
T0,A82,1802.62,11,0
T1,A15,151.34,16,0
T2,A4,5346.01,17,0
T3,A95,2750.37,3,0
T4,A36,9743.21,10,0
T5,A32,5538.06,7,0
T6,A29,6977.2,14,0
T7,A18,1271.53,3,0
T8,A95,8685.93,8,0
T9,A14,4913.88,14,0
T10,A87,8728.47,7,0
T11,A95,5744.9,4,0
T12,A70,4699.28,3,0
T13,A12,4410.28,1,0
T14,A76,1851.79,9,1
T15,A55,523.25,12,0
T16,A5,9411.23,19,0
T17,A4,4782.51,13,0
T18,A12,8222.94,7,0
T19,A28,4013.07,5,0
T20,A30,750.08,10,0
T21,A65,6298.16,18,0
T22,A78,545.55,23,0
T23,A4,1500.48,10,0
T24,A72,5632.77,6,0
T25,A26,3045.32,5,0
T26,A92,9939.24,15,0
T27,A84,1193.33,16,1
T28,A90,7646.79,14,0
T29,A70,6067.11,15,0
T30,A54,7909.5,9,0
T31,A29,2264.61,15,0
T32,A58,5230.5,0,0
T33,A76,4510.64,2,0
T34,A36,4432.78,12,0
T35,A1,8603.06,16,0
T36,A98,9900.41,14,0
T37,A21,3060.75,7,0
T38,A90,6214.06,6,0
T39,A55,6100.21,18,0
T40,A44,7403.49,11,0
T41,A36,9476.43,1,0
T42,A20,2085.8,1,1
T43,A28,2118.14,9,0
T44,A98,6607.68,15,0
T45,A44,1579.0,19,0
T46,A14,1746.4,20,0
T47,A12,759.9,21,0
T48,A49,36.73,15,0
T49,A13,4510.53,9,0
T50,A46,5942.17,17,0
T51,A45,2919.68,0,0
T52,A78,2322.45,3,0
T53,A34,7072.49,13,0
T54,A6,7032.85,4,0
T55,A94,4545.77,8,0
T56,A59,6876.98,23,0
T57,A69,9239.87,11,0
T58,A16,7880.4,12,0
T59,A49,6254.33,11,0
T60,A11,6615.22,1,0
T61,A71,9337.35,12,0
T62,A38,4257.14,1,0
T63,A81,5450.18,18,0
T64,A80,6479.87,17,0
T65,A47,9085.03,6,0
T66,A74,8268.05,11,0
T67,A25,723.38,17,0
T68,A91,1667.57,9,0
T69,A9,3083.04,2,0
T70,A6,7492.09,12,0
T71,A85,5696.38,16,0
T72,A30,2893.22,14,0
T73,A99,1252.29,17,0
T74,A38,6889.89,8,0
T75,A11,7000.34,19,0
T76,A30,9427.34,21,0
T77,A13,5009.72,19,0
T78,A49,4943.01,3,0
T79,A36,813.61,4,0
T80,A59,408.21,3,0
T81,A82,4325.97,12,0
T82,A47,3229.99,11,0
T83,A21,2511.18,10,0
T84,A48,922.36,17,0
T85,A46,9619.49,11,0
T86,A27,8361.23,4,0
T87,A86,5756.24,6,0
T88,A35,9508.35,19,0
T89,A90,9995.73,16,0
T90,A88,6726.09,12,0
T91,A83,2702.42,16,0
T92,A10,411.91,1,0
T93,A78,7565.13,1,1
T94,A82,4710.3,1,0
T95,A22,6518.58,4,0
T96,A69,9161.57,22,0
T97,A94,1823.08,10,0
