age,weight,activity_level,preferred_workout
64,66,high,strength
26,92,low,cardio
23,84,low,cycling
29,84,low,yoga
28,54,low,yoga
40,72,high,cardio
47,84,high,cycling
27,61,high,yoga
31,57,medium,yoga
55,83,high,yoga
63,85,low,cardio
55,94,high,yoga
47,54,low,cardio
42,61,medium,strength
46,94,medium,strength
27,61,high,cycling
36,70,medium,strength
40,60,high,yoga
37,79,medium,cycling
60,91,medium,yoga
29,94,high,cycling
60,66,high,strength
48,93,low,cycling
59,79,high,strength
37,97,high,yoga
50,72,low,cardio
24,67,high,cycling
57,61,low,cardio
49,83,low,cycling
46,77,medium,cycling
52,57,high,strength
44,56,medium,cycling
26,75,high,strength
36,96,low,cardio
40,90,medium,cardio
26,79,high,yoga
19,73,low,yoga
38,83,low,yoga
53,81,high,cycling
20,86,high,cardio
51,92,medium,strength
38,90,high,strength
23,63,low,strength
35,74,low,strength
39,76,medium,cardio
27,71,low,cycling
21,91,low,yoga
26,64,high,cycling
64,73,low,yoga
56,89,medium,cycling
48,54,low,strength
49,51,medium,cycling
30,53,medium,strength
18,67,high,yoga
41,59,medium,cardio
49,71,medium,cardio
64,85,medium,strength
44,73,medium,yoga
33,91,low,strength
59,99,high,cycling
31,84,high,cardio
32,96,low,cycling
27,77,high,cardio
18,98,low,yoga
40,55,low,strength
44,65,medium,yoga
33,83,medium,cardio
48,69,low,cardio
22,88,low,yoga
24,60,high,strength
59,88,high,cardio
60,75,low,yoga
51,58,high,cycling
63,53,medium,cardio
43,54,high,strength
60,78,high,strength
57,85,medium,cycling
29,98,low,yoga
21,70,low,cycling
42,66,low,cardio
23,81,low,yoga
27,69,high,strength
62,88,high,strength
52,81,medium,cycling
32,69,medium,cardio
50,85,medium,yoga
39,88,low,cardio
20,94,low,strength
61,62,low,yoga
35,89,low,cardio
19,71,high,cardio
19,81,low,cycling
35,55,high,cardio
58,65,medium,cycling
33,96,high,strength
58,54,high,cycling
46,93,medium,strength
38,87,low,cardio
47,70,medium,strength
29,92,medium,cycling
